ID,B,Br_1,Br_1,C_1,C_2,C_3,C_4,Cl_1,Cl_2,Cl_3,F_1,F_2,H_1,H_2,I_1,I_2,I_3,N_1,N_2,N_3,N_4,O_1,O_2,O_3,P_1,P_2,P_3,S_1,S_2,S_3,S_4,Si_1,Si_2
gmof_Uio66Zr-irmof14_A_No17,0,0,0,0,694.778,416.867,138.956,0,0,0,0,0,38.354,17.046,0,0,0,0,0,0,0,95.745,430.855,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No279,0,0,0,0,54.748,54.748,27.374,0,457.89,0,0,25.1,0,0,0,0,0,0,0,0,0,0.542,2.168,0,0,0,0,0,25.41,0,0,0,0
gmof_Al2O6-BDC_B-irmof7_B_No581,0,0,0,0,204.51,122.706,81.804,0,0,0,0,213.15,83.515,83.515,0,0,0,75.39,0,0,0,0.13,0.52,0,0,0,0,0,0,0,0,0,0
UKUCAF_FSR,0,0,0,0,238.642,258.528,0,0,0,0,0,0,438.92,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0
YIMCEF_FSR,0,0,0,0,517.215,369.439,147.776,0,0,0,0,0,288.13,0,0,0,0,0,29.1,0,0,0,21.05,0,0,0,0,0,0,0,0,0,0
EZEQEH_FSR,0,0,0,0,211.992,47.109,47.109,0,0,0,0,0,176.35,0,0,0,0,0,0,0,0,0,23.56,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o12_pcu_sym_42,0,0,0,0,169.125,112.75,56.375,0,0,0,0,0.69,452.454,123.396,0,0,0,0,46.1,0,0,0,35.28,0,0,0,0,0,0,0,0,0,0
EFADEV_FSR,0,0,0,0,318.882,159.441,53.147,0,0,0,0,0,363.08,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No21,0,0,0,0,141.788,20.255,60.766,0,0,0,0,0,134.49,89.66,0,0,0,0,0,0,0,32.82,196.92,0,0,0,0,0,70.06,0,0,0,0
gmof_Al2O6-fum_B-irmof10_B_No12,0,0,0,0,518.8,86.467,172.933,0,0,0,0,0,348.697,261.523,0,0,0,231.04,0,0,0,3.808,15.232,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No262,0,0,283.42,0,120.81,72.486,48.324,0,0,0,0,19.31,103.014,41.206,0,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,42.9,0,0,0,0
XALROT_FSR,0,0,0,0,591.401,197.134,262.845,0,0,0,0,0,334.356,222.904,0,0,0,87.33,0,0,0,0,278.6,0,0,0,0,0,0,0,0,0,0
core_QUQPOI_SL,0,0,0,0,583.765,583.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIYTEO_FSR,0,0,0,0,418.75,261.719,157.031,0,0,0,0,0,253.12,0,0,0,0,0,11.12,0,0,0,90.17,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No15,0,0,0,37.544,225.262,75.087,75.087,0,0,0,0,0,410.451,68.409,0,0,0,0,0,0,0,0.31,1.24,0,0,0,0,0,106.39,0,0,0,0
boydwoo_str_m3_o24_o29_pcu_sym_127,0,0,0,0,69.461,44.653,19.846,0,0,0,0,71.38,58.48,73.1,0,0,0,0,0.61,0,0,0,724.581,36.229,0,0,0,0,0,0,7.37,0,0
VUZREQ_FSR,0,0,0,0,445.4,0,0,0,0,0,0,0,188.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZVEY_FSR,0,0,0,0,79.58,79.58,0,0,123.58,0,0,0,71.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o9_o22_pcu_sym_66,0,0,0,0,308.467,92.54,61.693,0,0,0,0,0,1300.395,18.315,0,0,0,0,0,0,0,14.226,192.054,0,0,0,0,0,0,0,1.96,0,0
FAVHES_FSR,0,0,0,3.672,6.427,8.263,5.508,0,0,0,0,0,135.664,24.666,0,0,0,0,0,0,0,11.007,66.04,22.013,0,0,0,0,0,0,0,0,0
HEJQIZ_FSR,0,0,0,0,349.67,0,0,0,0,0,0,0,142.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EKEHUZ_FSR,0,0,0,0,40.47,0,0,0,0,0,0,0,231.23,0,0,0,0,0,0,0,0,0,32.76,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No316,0,0,0,0,135.372,45.124,45.124,0,0,0,0,18.53,70.428,56.342,0,0,0,0,0,0,0,33.898,237.282,0,0,0,0,0,30.42,0,30.42,0,0
